geneSymbol,cellName,tissueType,cellType
"ABHD6, ADD3, ALDH1A1, AMBN, AMOTL1, ANKRD1, APOA1, APOA2, BMP2, BMP6, CACHD1, CADM1, CALCR, CAMK2D, CCAT1, CDH11, CDH2, CELA3A, CELA3B, CERS6, CMBL, CNIH3, COL18A1, COL4A1, COL4A2, CPN1, CTSE, DENND2C, DEPDC7, DPP4, DUSP4, DYNLT3, EDEM1, FAM198B, FGG, FLRT3, FN1, FOXA2, FRMD6, FRZB, FST, GATA4, GATA6, GCKR, GCNT3, GNA13, GPC3, GPR161, HABP2, HMGCR, HNF1B, HNF4A, ID2, IGF1, ITIH5, KCNJ16, KIFAP3, KIT, P3H1, CARMIL1, MAP2K6, MARCKS, MTTP, MYL4, NID1, NID2, NANOG, OTX2, P4HA1, PAPSS1, PDGFRA, PDPN, PGM1, PHLDB2, PIK3R1, PITX2, POMC, PRCP, PROS1, PTK2B, RGS5, RNASE1, ROBO1, RSPO3, SALL1, SERPINE2, SLCO2A1, SMAD9, SP8, SYT13, TMEM123, TMEM88, TNIP3, TRIM2, VIL1, VWA5A",Primitive endoderm cell,Embryo,Normal cell
"AARS2, ABHD12B, ACE, ANKRD45, APOBEC3C, APOBEC3D, ARGFX, ASH2L, ATP8B2, BCOR, BTLA, CAMKV, CAPG, CASP8, CBFA2T2, CCDC80, CDHR1, CFLAR, CHST2, CPT1A, CREBL2, CXCL12, DND1, DOCK6, DPPA2, DPPA4, DPPA5, ESRG, ETV1, ETV4, FAM124A, FAM46B, FBP1, FGF4, GDF3, GGT1, GK, GPRC5C, GUCA1A, HEY2, IFITM1, IGSF1, IL23A, FAM234A, KLF17, LAPTM4B, LDLRAP1, LIM2, LRP4, MAN1C1, MAP4K1, MT1X, MUC4, NANOG, NGEF, NLRP9, NODAL, NRBP2, PBX3, PIM2, PITPNM2, PLA2G4F, POU5F1, PRDM14, PRUNE2, PSORS1C2, RASD1, RRAD, SAT1, SERINC5, SERPINB6, SH3PXD2A, SHPK, SLC16A9, SLC25A12, SOX2, ST6GALNAC3, SUSD2, TBC1D16, TDGF1, TDGF1P3, TNFRSF8, TRIM56, UBTD1, UNC5B, UPP1, USP28, UTF1, VASH2, VENTX, VSNL1, WNT3, ZIC3, ZSCAN10, ZYG11A",Epiblast cell,Embryo,Normal cell
"ANP32E, APOLD1, ASPM, ATAD2, AURKB, BIRC5, BTG3, BUB1, BUB3, C19orf48, C21orf58, CCNA2, CCNB1, CCNB2, CDC20, CDCA3, CDCA4, CDCA5, CDCA7, CDK1, CDKN3, CDON, CENPF, CENPK, CENPM, CENPN, CENPU, CENPW, CHL1, CKAP2, CKAP2L, CKS1B, CKS2, CLIC1, CLSPN, CNTLN, CREB5, DACH1, DCX, DEPDC1B, DHFR, DLGAP5, DTYMK, DUT, EFNB1, EMX1, EMX2, EOMES, SINHCAF, PIMREG, FBXO5, FEN1, GAP43, GINS2, GLI3, GMNN, GNG2, GNG5, GTSE1, H2AFV, H2AFX, H2AFZ, HAT1, HELLS, HES1, HIST1H4C, HJURP, HMGB2, HMGB3, HMGN2, HSPB1, ID4, IGF2BP1, ITGB3BP, PCLAF, KIF11, KIF15, KIF22, KIF23, KIF2C, KNSTRN, KPNA2, LDHA, LMO3, LMO4, MAD2L1, MAPT, MCM2, MCM3, MCM4, MCM5, MCM6, MCM7, MDK, MEF2C, MELK, MFAP2, MIS18BP1, MKI67, MYT1L, NDC80, NOTCH1, NRXN1, NSG1, NTM, NUF2, NUSAP1, OIP5, ORC6, OTX1, PAICS, PAX6, PBK, PCNA, PCSK1N, PHGDH, PLIN2, PLPP3, PRC1, PRR11, PTTG1, RAB3A, RBFOX2, RCN1, RNASEH2A, RPA3, RPS27L, RRM1, RRM2, RTN1, RUNX1T1, SCG3, SFRP1, SFRP2, SGO1, SGO2, SHTN1, SLA, SMC2, SMC4, SNAP25, SNRPB, SOX3, SOX9, SPAG5, SPC25, STMN2, SYT1, TACC3, TAGLN2, TGIF1, TMEM98, TMPO, TOP2A, TPX2, TUBA1B, TUBB4B, UBE2C, UBE2T, UCP2, UHRF1, VIM, WDR34, ZEB2, ZFHX4, ZWINT",Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
"ARX, B2M, CSRP2, IGFBPL1, MAF, NEUROD1, NEUROD2, NEUROD6, PLS3, PPP2R2B, RBFOX1, SLA, NA",Neuron,Embryonic prefrontal cortex,Normal cell
"ARX, CELF4, CKS2, CXCR4, DLX1, DLX2, DLX5, ERBB4, FDFT1, GAD1, GAD2, GNG5, HMGB2, IGFBPL1, INA, LDHA, LHX6, NA, MAF, MDK, MEF2C, NA, NEUROD1, NEUROD6, NRXN3, PDE4DIP, PHLDA1, PLS3, PPP1R17, PTPRZ1, PTTG1, NA, UBE2C, UBE2T, VIM",Interneuron,Embryonic prefrontal cortex,Normal cell
"AASS, ABAT, ABCD3, ABHD3, ACSBG1, ACSL6, ADCYAP1R1, ADD3, ADGRB1, ADGRG1, ADORA2B, AGT, AIF1L, AK4, ALCAM, ALDH6A1, ALDOC, ALPL, ANOS1, ANXA5, APBB2, APOE, AQP4, ARHGEF26, ARNTL, ATP13A4, ATP1A2, ATP1B2, B2M, NA, BBS2, BCAN, BCAP29, BCHE, BCL11A, BDH2, BEX1, BMP7, BMPR1B, BRINP3, BTBD17, C1orf122, C1orf61, C2orf72, C3orf70, NA, CA12, CAMK2G, CBR1, CBS, CCDC80, CD24, CD63, CD82, CD9, CDC42EP1, CDC42EP4, CLDN10, CLU, CNN3, COMT, CPNE5, CRYL1, CSPG5, CSRP2, CST3, CTSL, CXCL14, CYP51A1, DAG1, DARS, DBI, DBX2, DCN, DCXR, DDAH1, DDR1, DHCR7, DIO2, DKK3, DNER, DOK5, DTNA, EDNRB, EEPD1, EFEMP2, EFHD2, EFNA1, ELAVL4, ELN, ELOVL2, ELOVL5, EMC2, ENHO, ETV1, ETV5, F3, FABP5, FABP7, FADS2, FAM107A, FAM181B, FAM84B, FAT1, FBLN2, FERMT2, NA, FXYD1, G6PC3, GATM, NA, GDPD2, GFAP, GJA1, GLUD1, GLUL, GNG11, GNG12, GNG5, GNG7, GNPTG, GPM6B, GPR137B, GPR37L1, GPRC5B, GPX3, GRB14, GRM3, GULP1, H2AFZ, HADHB, HAPLN1, HAPLN3, HDAC2, HES1, HES4, HES5, HEY1, HLA-A, HLA-B, HLA-C, HMGCS1, NA, HNMT, HOPX, HSD17B12, HSPB1, HTRA1, ID1, ID2, ID4, IDI1, IFI27L1, IFITM3, IGFBP4, IGFBPL1, IL33, ITGAV, ITM2C, ITPR2, JUN, KCNE5, KCNJ10, NA, KLHDC8A, LAMB2, LEPROT, LGALS1, LGALS3, LGALS3BP, LGI1, LIFR, NA, NA, NA, LIPA, LITAF, LIX1, LRIG1, LRP4, LRRC10B, LRRC17, LRRC3B, LRRN3, LRRTM3, LUZP2, LYN, MAGT1, MASP1, MEIS1, METTL7A, MFGE8, MGLL, MLC1, MLLT11, MMD2, MRC2, MSMO1, MT1E, MT2A, MT3, MYO10, NCAN, NDRG2, NEUROD6, NKAIN4, NLGN3, NOTCH2, NOTCH3, NPNT, NSG1, NT5E, NTRK2, OAT, OCIAD2, OLFM2, P3H4, P4HA1, PAQR8, PBXIP1, PDGFRB, PDLIM3, PDLIM5, PDPN, PEA15, PHACTR2, PHGDH, PHYHIPL, PLAGL1, PLCD1, PLEC, PLEKHB1, PLIN3, PLTP, PMP22, PNPLA3, PON2, NA, PPP1R16A, PPP1R17, PRCP, PREX1, PRODH, PRR5, PRSS35, PSAT1, PTMA, PTN, PTPRZ1, PTTG1IP, QKI, RAB31, RAB34, RAMP1, RAMP3, RAP1GAP, RASSF4, RBFOX2, RCN1, RFX4, RGCC, RGMA, RGS20, RHOC, RIT2, ROBO3, RTN1, S100A13, S100A16, S100B, S1PR1, SASH1, SCD, SCRG1, SDC3, SELENBP1, SEMA6A, SEMA6D, SERPINB6, SERPINE2, SEZ6L, SFXN5, SHISA4, SIRPA, SLC13A5, SLC15A2, SLC1A2, SLC1A3, SLC1A4, SLC25A18, SLC38A3, SLC39A12, SLC3A2, SLC4A4, SLC6A1, SLC9A3R1, SLCO1C1, SLITRK2, SNX3, SNX5, SOAT1, SOX11, SOX2, SOX4, SOX8, SOX9, SPARCL1, SPATA6, SPON1, SPRY1, SPRY2, STMN1, STON2, SYPL1, SYT1, TAGLN3, TBC1D10A, TCF7L2, TECPR2, TEX264, TFPI, THBS3, TIMP1, TIMP3, TM7SF2, TMEM132B, TMSB10, TMSB15A, TNC, TNFRSF19, TOR1AIP1, TP53I3, TRIB2, TRIL, TRIM47, TSC22D4, TSPAN3, TSPAN6, TSPAN7, TTYH1, TTYH2, TUBB, TUBB3, UBL3, UCHL1, VCAM1, VEPH1, VIM, WSCD1, YIF1A, ZFP36L1, ZFP36L2, ZFYVE21",Astrocyte,Embryonic prefrontal cortex,Normal cell
"ABRACL, ALCAM, ANGPTL2, ANXA5, APOD, ARC, ARL4A, B2M, BCAN, BCHE, BCL11A, BRINP3, C2orf80, NA, CA10, CADM2, CD24, CD63, CD82, CD9, CNP, CNTN1, COL20A1, COL9A1, CSPG5, CSRP2, CST3, DBI, DCX, DUSP6, EDNRB, ELAVL4, ENC1, EPB41L2, EPN2, ETV1, ETV5, FIBIN, GATM, GNG7, GPM6B, GPR17, GRID2, IGFBPL1, ITGB8, ITM2C, KANK1, LHFPL3, LIMA1, NA, LMF1, LRRC4C, LSAMP, LUZP2, MLLT11, MMP2, MT3, NEUROD2, NEUROD6, NKAIN4, NKX2-2, NOVA1, NSG1, NXPH1, OCIAD2, OLIG1, OLIG2, OMG, PCDH15, PDE4B, PDGFRA, PLAT, PLEKHB1, PLLP, PMP2, PON2, NA, PSAT1, PTN, PTPRZ1, RAB31, RAMP1, RFTN2, RHOC, RND3, RTN1, S100B, SCD5, SCN1A, SCRG1, SEMA5A, SERPINE2, SEZ6L, SHTN1, SIRT2, SLC35F1, SLITRK2, SOX10, SOX4, SOX6, SOX8, SPARC, SPATA6, SPRY1, SPRY4, STMN2, SYT1, NA, TMSB10, TRIB2, TSC22D4, TSPAN7, TTYH1, TUBB3",Oligodendrocyte progenitor cell,Embryonic prefrontal cortex,Normal cell
"A2M, ABCG2, ABHD12, ABI3, ACTR2, ACY3, ADAM28, ADAM9, ADAP2, ADORA3, ADRB2, AIF1, ALOX5, ALOX5AP, ANXA11, ANXA4, ANXA5, AOAH, AP1B1, APBB1IP, APLP2, APOC1, APOE, APPL2, ARHGAP12, ARHGAP4, ARHGAP9, ARHGDIB, ARPC1B, ARRB2, ASAH1, ATAT1, ATM, ATP6V0E1, ATP8B4, AXL, B2M, B3GNT5, BCL11A, BEX1, BHLHE41, BIN1, BIN2, BLNK, BLVRB, BRI3, BST2, BTG2, NA, NA, C12orf75, C1orf61, C1QA, C1QB, C1QC, C2, C20orf27, C3, C3AR1, C5AR1, CAP1, CAPZB, CASP1, CCL3, CCL4, CCL4L2, CCND1, CCR1, CD14, CD164, CD24, CD300A, CD36, CD37, CD4, CD53, CD63, CD68, CD74, CD81, CD83, CD84, CD86, CEBPA, CEBPD, NA, CH25H, CMTM6, CMTM7, CNN3, CNPY3, COLGALT1, CORO1A, CPED1, CPVL, CREBL2, CREG1, CRYBB1, CSF1R, CSF3R, CSRP2, CTSA, CTSB, CTSC, CTSD, CTSL, CTSS, CX3CR1, CXCL16, CYBA, CYBB, CYFIP1, CYTH4, DAB2, DBN1, DCX, DHRS3, DHRS9, DNAJB1, DNPH1, DOCK2, DOCK4, DOCK8, DPP7, DUSP1, DYNLT1, EGFL7, EGR1, EGR2, EGR3, ELAVL4, ELF1, ENTPD1, EVI2A, FABP5, FABP7, NA, FAM78A, FAM96A, FBLN1, FCER1G, FCGR1A, FCGR1B, NA, FCGR2A, FCGR3A, FCGRT, FES, FGD2, FLI1, FMNL3, FOLR2, FOS, FOSB, FPR1, FRMD4A, FTL, FXYD6, NA, GAA, GADD45B, GAL3ST4, GALNT1, GAS6, GATM, GGA2, NA, GIMAP4, GLIPR1, GLUL, GM2A, GMFG, GNAI2, GNB4, GNG5, GNG7, GPM6A, GPN3, GPR183, GPR34, GPSM3, GPX1, GRN, GSN, GSTA4, GSTK1, GYPC, HAVCR2, HCK, HCLS1, HCST, HERPUD1, HEXA, HEXB, HIST1H1C, HLA-B, HLA-C, HLA-E, NA, HPGDS, HSPA1A, HSPA1B, HTRA1, HVCN1, IER2, IER3, IFI16, IFI30, IFITM2, IFNGR1, IGF1, IGFBPL1, IGFLR1, IGSF6, IKZF1, IL10RA, IL13RA1, IL16, IL17RA, IL6R, IL6ST, INPP5D, IPCEF1, IRF8, ITGAM, ITGAX, ITGB2, ITM2B, ITM2C, ITPR2, JAG1, JUN, JUNB, KCTD12, NA, KLF2, KLF6, LAIR1, LAMP1, LAMP2, LAPTM5, LAT2, LCP1, LGMN, LHFPL2, LILRB4, LIMS1, NA, NA, NA, NA, NA, NA, NA, LIPA, LOC100506388, NA, NA, NA, LPAR5, LPAR6, LPCAT2, LPIN2, LRMP, LST1, LTC4S, LY86, LY96, LYN, LYST, MAF, MAGED1, MAN2B1, MANBA, MAST3, MBNL1, MDK, MED12L, MEF2A, MEIS2, MERTK, METTL7A, MFSD1, MGAT1, MGAT4A, MGST2, MILR1, MIS18BP1, MKNK1, MLLT11, MNDA, MPEG1, MPP1, MRC1, MS4A7, MSN, MYH9, MYL12A, MYLIP, MYO1F, NAA20, NABP1, NAGA, NAIP, NCF4, NCKAP1L, NA, NEU1, NEUROD6, NFIB, NFKBIA, NA, NGRN, NINJ1, NNAT, NPC2, NPL, NR3C1, NR4A1, NR4A2, NRIP1, NSG1, OAS1, OCIAD2, OLFML3, OLR1, OSTF1, OTUD1, P2RX4, P2RY12, P2RY13, P3H2, PAFAH1B3, PAG1, PALD1, PARVG, PDGFB, PDK4, PDPN, PFN1, PFN2, PLA2G15, PLA2G7, PLCB2, PLD3, PLD4, PLEK, PLTP, PLVAP, PLXDC2, PNMA1, POLD4, PPA1, PPP1R18, PPT1, PRDX2, PRR13, PSAP, PSMB10, PTAFR, PTGS1, PTPN6, PTPRC, PTPRE, PTPRZ1, PYCARD, RAB29, RAB31, RAB32, RAB3IL1, RAPGEF6, RASSF4, RB1, RBMS1, RBP1, RCN3, RCSD1, REEP4, RGS1, RGS10, RGS19, RGS2, RHBDF2, RHOB, RHOG, RIN2, RNASE6, RNASET2, RNF13, RNF130, RNF135, RNF213, RPAIN, RPS6KA1, RTN1, RUNX1, RYR1, S100A11, SALL1, SAMSN1, SASH3, SAT1, SCAF11, SCAMP2, SCG3, SELPLG, SERPINA1, SERPINB6, SERPINF1, SESN3, SFMBT2, SFT2D1, SGK1, SH2B3, SIGLEC10, SIGLEC8, SIPA1L2, SIRPA, SLC15A3, SLC29A1, SLC29A3, SLC7A7, SLC7A8, SLC9A9, SLCO2B1, SMAP2, SOCS6, SORL1, SOX11, SOX4, SP100, SPP1, SPRED1, SRGN, STAB1, STMN1, STOM, STXBP2, SWAP70, SYK, SYNE2, SYNGR2, SYT1, TACC1, TAGAP, TAGLN3, TAL1, TAPBP, TBXAS1, TCF4, TCIRG1, TFEC, TGOLN2, TIMP2, TLN1, TLR10, TLR4, TLR7, TM6SF1, TMBIM1, TMC6, TMEM119, NA, TMEM173, TMEM52B, TMIGD2, TMIGD3, TMSB15A, TNFAIP8L2, TNFRSF1A, TNFRSF1B, TPP1, TPT1, TREM2, TSC22D1, TSC22D3, TSPAN13, TUBA1A, TUBB2B, TUBB3, TYROBP, UCP2, VAMP8, VAV1, VMP1, VSIG4, WAS, WASF2, WDR91, XBP1, YWHAQ, ZBTB20, ZFHX3, ZFP36, ZFP36L1, ZFP36L2, NA",Microglial cell,Embryonic prefrontal cortex,Normal cell
"AADAC, AKR1B10, AKR1C1, AKR1C2, AKR1C3, AKR7A3, ALB, ALDOB, AMY2A, AMY2B, NA, ANPEP, AQP8, AZGP1, BCAT1, C15orf48, C4B, CA12, CBS, CEL, CELA2A, CELA3A, CELA3B, CLPS, CPA1, CPA2, CPB1, CTRB1, CTRB2, CTRC, CTRL, CUZD1, CXCL17, DPEP1, DUOX2, DUOXA2, ECE2, EFHD2, ERP27, FAM129A, FGL1, GALNT7, GNL3, GP2, GPT2, GSTA1, GSTA2, HAMP, IL32, KCTD14, KLK1, LGALS2, LYZ, MAT1A, MGST1, MUC1, NFKBIA, NUPR1, PDIA2, PLA2G1B, PLTP, PNLIP, PNLIPRP1, PNLIPRP2, PPIF, PRSS1, PRSS2, PRSS3, NA, PSAT1, PTGR1, RARRES2, REG1A, REG1B, REG3A, REG3G, RNASE1, NA, NA, SDC4, SERPINA4, SERPINI2, SGK1, SLC25A37, SLC38A5, SLC39A5, SLC43A1, SOD2, SPINK1, SYCN, TIFA, TMEM97, TMPRSS2, TPD52L1, TPST2, TRIB2, NA, UGDH, YBX3, ZDHHC9",Acinar cell,Pancreatic islet,Normal cell
"NA, NA, ADORA2A, ARRDC4, ARX, ASPH, ASXL3, ATG7, ATL2, BAZ2B, BSCL2, C11orf24, NA, NA, C21orf58, NA, CAMK2G, CD36, CDS2, CERCAM, CLU, NA, DPP4, NA, EGFL7, ELL2, EPG5, EPHX2, ETFDH, F10, FADS2, FAM110B, NA, NA, FAM84A, FAP, FGF12, FSTL5, FXYD5, GADD45G, GC, GCG, GLS, GPR119, GRIA3, HIGD1A, HMGB2, HMGB3, HNRNPA3, HPS1, HSD17B14, HTR1F, IRX2, ITPK1, KCNMA1, KL, KLHL41, KPNA6, LOXL4, MBOAT2, MCOLN3, MLLT11, MRC1, NA, MYBPHL, NAA20, NA, OGT, PALLD, PDE4DIP, PDZK1, PLA2G16, PLCE1, PLOD2, PMM1, PNISR, POPDC3, PRKCE, PTPN2, RAB3C, RSAD2, SETD2, SGCZ, SLC38A4, SORT1, SPATC1L, SPOCK3, SRBD1, SREK1, STARD3, TBC1D30, TMCO3, TMEM236, TTC39A, TTR, UBQLN1, UQCC1, VGF, WDR37, YIPF2",Alpha cell,Pancreatic islet,Normal cell
"ABI2, NA, ADCYAP1, NA, ALCAM, ALOX5, AP3B1, APCDD1L, APLP2, ATP2A3, BMP5, C1orf127, NA, CADM1, CAPN13, CASR, CD72, CDH18, CDK5R1, CGRRF1, CNTN4, CSDE1, CTSV, CYP2U1, CYYR1, DLK1, EDARADD, EFCAB14, ELMO1, ELOVL4, ENPP4, ENTPD3, NA, FAM222A, FAM76A, FFAR1, G6PC2, GCC1, GNAS, GPM6A, GPSM1, GREM1, GUSB, GYG1, HSPD1, IAPP, IGF2, INS, KLHDC8A, LGMN, LRRTM3, MAFA, MRAP2, MTSS1, MXRA7, NECAB1, NKX6-1, NMRK1, NPTX2, NTPCR, OXLD1, PCSK1, PFKFB2, PIGV, PIK3IP1, RAPH1, RASA4, RASA4B, RASGRF1, RBP4, RGS16, RNF130, ROBO2, RRAGB, RRNAD1, SALL2, SCD5, SEMA5A, SFTPA1, SGCB, SGK3, SIAH1, SLC25A34, SLC30A8, SLC43A2, SOCS2, SORL1, SRD5A1, SUSD4, SYT13, TBCC, TDRP, TERF2IP, TMEM37, TSPAN1, VAT1L, WNT4, WSCD2, ZNF441, ZNF776",Beta cell,Pancreatic islet,Normal cell
"ALDH1L1, AQP4, ATP13A4, BMPR1B, C16orf89, CBS, CHRDL1, CTH, CYBRD1, FGFR3, GLI3, GLIS3, HGF, ITGA7, ITGB4, NWD1, PAQR6, PPP1R3C, RNF43, SLC14A1, SLC30A10, SLC4A4, SORCS2, TRIM66",Astrocyte,Brain,Normal cell
"ADAMTS4, ASPA, CDK18, CLDN11, CNP, DAAM2, DPYD, ERMN, FA2H, GJB1, GPR37, GRM3, GSN, KCNH8, KLK6, LGI3, LPAR1, MAG, MAL, MAP6D1, MBP, MOBP, OPALIN, PLEKHB1, PLP1, PPP1R14A, SEC14L5, SHC4, UGT8",Oligodendrocyte,Brain,Normal cell
"LHFPL3, MEGF11, PCDH15, PDGFRA",Oligodendrocyte precursor cell,Brain,Normal cell
"ARMH4, CDO1, CNTN4, COBL, DCN, DLX1, DLX2, DLX5, DLX6, DPYSL5, KDR, GLRA2, GRIA3, KCNK1, KIAA1324, LNX1, LRRTM3, NELL1, NFASC, NXPH1, PNOC, RELN, SLC10A4, SLITRK1, SST, TMEM130",Neuron,Brain,Normal cell
"BCL2A1, CCL2, CCL4, CD14, CD83, CSF1R, GPR183, HLA-DRA, LAPTM5",Microglial cell,Brain,Normal cell
"A2M, APOLD1, FLT1, TM4SF1",Endothelial cell,Brain,Normal cell
"ABCG2, ALDH1A1, ALDH1A2, ALDH1A3, CD24, CD44, EPCAM, KIT, MYD88, PROM1",Cancer stem cell,Ovary,Cancer cell
"MUC1, NA, NA, MUC16, PAX8, WT1",Cancer cell,Ovary,Cancer cell
"CD24, CDH1, CLDN4, DSP, EPCAM, KRT18, KRT19, OCLN",Epithelial cell,Ovary,Cancer cell
"ACTA2, CD44, CDH2, FN1, ITGA5, MMP2, S100A4, SNAI2, TNC, TWIST1, VIM, WNT5A, ZEB1, ZEB2",Mesenchymal cell,Ovary,Cancer cell
"ABLIM1, ACTN1, AIF1, APBA2, APEX1, ARHGAP45, ARHGEF18, ATM, BACH2, BEX4, C1orf162, NA, C6orf48, CA6, CAMK4, CCR7, CD248, CD55, CEP68, COQ8A, DGKA, EEF2, EIF3E, EIF3L, EPHX2, EXOSC8, FAM102A, FAM117B, NA, FKBP5, FOXP1, NA, GCSAM, GIMAP2, NA, GPR155, GPR183, IGF1R, ITFG2, LDHB, LDLRAP1, LEF1, NA, NA, LMO7, LRRC75A, NA, LRRN3, MAL, MAML2, MLXIP, MYC, NDFIP1, NELL2, NOG, NOSIP, NPAT, NPM1, NT5E, OXNAD1, PASK, PDE3B, PDK1, PIK3IP1, PLEKHB1, NA, PSIP1, R3HDM4, RACK1, RASGRP2, RCAN3, RIC3, RPS8, SCML4, SELL, SERINC5, SGSM3, SH3YL1, SMAP2, SNED1, SNURF, SPINT2, SPTBN1, STMN3, TCF7, THAP7, THEM4, TMEM123, TMEM204, TMEM63A, TNFSF8, TOMM7, TPCN1, TRABD2A, TRAP1, TRMT1, TXK, UBQLN2, VIPR1, WDR43, ZNF101",Naive CD8+ T cell,Peripheral blood,Normal cell
"ADAM8, ADGRG1, ADRB2, AGTPBP1, AHNAK, ARHGAP25, ARL4C, BIN2, C12orf75, C1orf21, CAPN2, CASP8, CD300A, CEP78, CX3CR1, DSTN, EFHD2, EMP3, FCGR3A, FCGR3B, FCRL6, FGFBP2, FGR, FLNA, FUT11, GAB3, GK5, GLUL, GNLY, GZMB, GZMH, ITGAM, KCNAB2, KLRD1, KLRF1, LGALS1, LILRB1, LITAF, LLGL2, LPCAT1, LUZP6, MBP, MTSS1, MYO1F, MYO1G, OSBPL5, PATL2, PIK3R5, PLEK, PLEKHG3, PRKCB, PRSS23, PXN, RAP1B, RAP1GAP2, RAP2B, RASSF1, RGS19, RNF166, S1PR5, SAMD3, SH3BP5, NA, SLC2A1, SLC9A3R1, SLCO4C1, SPON2, SRPK2, STK10, SYNE1, TAGLN2, TBX21, TGFBR3, TM4SF19, NA, TPST2, TTC16, TTC38, USP28, VCL, VEZF1, WDR37, ZEB2, NA, ZNF600",Effector CD8+ memory T (Tem) cell,Peripheral blood,Normal cell
"ADAM12, APOL3, B3GALT2, CCR1, CCR2, CCR6, CD160, CD40LG, CEBPD, CERK, COLQ, CTSH, DKK3, DPP4, DUSP1, EDEM2, ERN1, FKBP11, FLT4, GALC, GPR171, GPR65, GYG1, HACL1, HPGD, IFNGR1, IKZF2, IL12RB2, IL18R1, IL18RAP, IL23R, IL4I1, JAML, KLRB1, NA, LST1, LTK, MBOAT1, ME1, MKNK1, NCR3, NFKBIA, NR1D1, NRIP1, NA, ODF2L, P2RY14, PBXIP1, PDK3, PHACTR2, PNP, PRNP, RORA, RORC, RUNX2, SESN1, SLAMF1, SLC4A10, SPOCK2, SYTL2, TBC1D31, TC2N, TLE1, TMEM71, TMIGD2, TNF, TRAT1, TSPAN15, TTC39C, ZBTB16",Mucosal-associated invariant T cell,Liver,Cancer cell
"ABCG1, ACP5, ACSL4, ACTN4, AFAP1L2, AHI1, AIP, AKAP5, ANKRD10, ANXA5, APOBEC3C, APOBEC3D, APOBEC3F, APOBEC3G, ARHGAP9, ARID5B, ARL3, ARNT, ARPC1B, ASB2, ATP10D, ATP8B4, ATXN1, BATF, BCL2L11, BLOC1S2, BST2, BTG3, NA, CALCOCO2, CALM3, CAMK1, CAPZA2, CASP3, CAT, CBLB, CCDC141, CCL3, CCND2, CD200, CD27, NA, CD2BP2, CD38, CD63, CD7, CD70, CD82, CD84, CHST12, CLECL1, CLNK, CLSTN3, COQ10B, COTL1, CREM, CSF1, CSNK2B, CTLA4, CTNNA1, CTNNB1, CTSB, CTSD, CXCL13, CXCR6, DCAF11, DDX60, DGKH, DRAP1, DUSP4, EID1, ENTPD1, NA, EPSTI1, ETNK1, ETV1, EWSR1, FAM3C, FASLG, FIBP, FKBP1A, NA, FUT8, GABARAPL1, GALM, GALNT2, GAPDH, GATA3, GBP1, GBP2, GBP4, GCNT1, GFOD1, GGA2, GLDC, GMDS, GOLIM4, GPD2, GSTO1, GTF2I, HAVCR2, HLA-DMA, HLA-DRA, HMOX1, HNRNPLL, ICAM3, ICOS, ID2, ID3, IFI16, IFI27L2, IFI35, IFI6, IFNG, IGFLR1, IKZF3, IL21R, IL2RB, INPP5F, IRF2, IRF9, ITGAE, ITM2A, JMJD4, KIF20B, KIR2DL4, KLRC4, KRT86, LAG3, LAT2, LAYN, LDHA, LIMK1, LIMS1, NA, NA, LSM2, LSP1, LY6E, LY6G5B, LYST, MAD2L2, MAP2K3, MAPKAPK3, MAPRE2, MCL1, NA, NA, NA, NA, MIS18BP1, MS4A6A, MTHFD1, MTHFD2, MX1, MYO1E, MYO7A, NAB1, NAPA, NASP, NCF4, NDFIP2, NEDD9, NFAT5, NR4A2, NRBP1, NUDT5, OAS3, OASL, OS9, OSBPL3, P2RY10, PAM, PARK7, PARP14, PDCD1, PDE7B, PDLIM7, PELI1, PFKP, PHEX, PHLDA1, PHTF2, PKM, PLPP1, PLSCR1, PMF1, PMF1-BGLAP, PON2, PPM1G, PPM1M, PRDM1, PRDX5, PRKAR1A, PRKCH, PSMA5, PSME2, PSTPIP1, PTGIS, PTMS, PTPN11, PTPN22, PTPN7, RAB27A, RALGDS, RBPJ, RFX5, RGS1, RGS2, RHBDD2, RHOH, RIN3, RNF19A, RNF31, SAMD9L, SAMSN1, SARDH, SCO2, SEL1L3, SEMA4A, NA, SIRPG, NA, SLA, SLC2A8, SLC4A5, SNAP47, SNX17, SNX9, SP140, SPTAN1, SRGAP3, SRGN, SRI, SSH1, STAM, STARD4, STAT3, SUSD6, SYNGR2, TBC1D4, TBK1, TBL1XR1, TET2, TFRC, TIGIT, TNFAIP3, TNFRSF1B, TNFRSF9, TNFSF4, TNS3, TOX, TOX2, TPI1, TRAF5, TRAFD1, TRPS1, TTC24, TTYH3, TYMP, UBASH3B, UBE2L6, VAMP5, VCAM1, VMP1, WARS, WHRN, YARS, ZBED2, ZFP36L1, ZMYM5, ZNF79",Exhausted CD8+ T cell,Liver,Cancer cell
"ABLIM1, ACTN1, C1orf162, C6orf48, CCR7, CD55, EEF1B2, EIF3L, FAM117B, FHIT, GIMAP5, GIMAP8, GPR183, IL7R, LDLRAP1, NA, LRRN3, MAL, MYC, NELL2, NOSIP, PRKCA, RPS5, RSL1D1, SATB1, SERINC5, SLC40A1, SVIL, TCF7, TESPA1, TMEM204, TRABD2A, TSHZ2, TXK",Naive CD4+ T cell,Peripheral blood,Normal cell
