geneSymbol,cellName,tissueType,cellType
BTK,Paneth cell,Large intestine,Normal cell
CCDC134,Paneth cell,Large intestine,Normal cell
CD163L1,Paneth cell,Large intestine,Normal cell
CD300E,Paneth cell,Large intestine,Normal cell
CEBPB,Paneth cell,Large intestine,Normal cell
CHI3L1,Paneth cell,Large intestine,Normal cell
CMKLR1,Paneth cell,Large intestine,Normal cell
CNEP1R1,Paneth cell,Large intestine,Normal cell
CTSZ,Paneth cell,Large intestine,Normal cell
CXCL3,Paneth cell,Large intestine,Normal cell
CXorf40A,Paneth cell,Large intestine,Normal cell
DNAJA4,Paneth cell,Large intestine,Normal cell
DOK2,Paneth cell,Large intestine,Normal cell
DUSP2,Paneth cell,Large intestine,Normal cell
EIF4A3,Paneth cell,Large intestine,Normal cell
EVI2B,Paneth cell,Large intestine,Normal cell
EYA2,Paneth cell,Large intestine,Normal cell
F13A1,Paneth cell,Large intestine,Normal cell
FAM168A,Paneth cell,Large intestine,Normal cell
FERMT3,Paneth cell,Large intestine,Normal cell
FGL2,Paneth cell,Large intestine,Normal cell
FMNL1,Paneth cell,Large intestine,Normal cell
GLA,Paneth cell,Large intestine,Normal cell
GNPDA1,Paneth cell,Large intestine,Normal cell
HCAR2,Paneth cell,Large intestine,Normal cell
HCAR3,Paneth cell,Large intestine,Normal cell
HSPA6,Paneth cell,Large intestine,Normal cell
INHBA,Paneth cell,Large intestine,Normal cell
IPMK,Paneth cell,Large intestine,Normal cell
IRS2,Paneth cell,Large intestine,Normal cell
JMY,Paneth cell,Large intestine,Normal cell
KIAA0930,Paneth cell,Large intestine,Normal cell
KLHDC7B,Paneth cell,Large intestine,Normal cell
LCP2,Paneth cell,Large intestine,Normal cell
LILRB5,Paneth cell,Large intestine,Normal cell
LOC100130357,Paneth cell,Large intestine,Normal cell
MCOLN1,Paneth cell,Large intestine,Normal cell
METAP1D,Paneth cell,Large intestine,Normal cell
MS4A4A,Paneth cell,Large intestine,Normal cell
NCF1,Paneth cell,Large intestine,Normal cell
NCF2,Paneth cell,Large intestine,Normal cell
NDST2,Paneth cell,Large intestine,Normal cell
NFAM1,Paneth cell,Large intestine,Normal cell
NFKBIE,Paneth cell,Large intestine,Normal cell
NLRP3,Paneth cell,Large intestine,Normal cell
NR4A3,Paneth cell,Large intestine,Normal cell
NSMAF,Paneth cell,Large intestine,Normal cell
NUFIP1,Paneth cell,Large intestine,Normal cell
OSM,Paneth cell,Large intestine,Normal cell
PGD,Paneth cell,Large intestine,Normal cell
PIK3AP1,Paneth cell,Large intestine,Normal cell
PLAU,Paneth cell,Large intestine,Normal cell
PRMT9,Paneth cell,Large intestine,Normal cell
PTGS2,Paneth cell,Large intestine,Normal cell
RAC2,Paneth cell,Large intestine,Normal cell
RASSF5,Paneth cell,Large intestine,Normal cell
RIPK2,Paneth cell,Large intestine,Normal cell
RNF144B,Paneth cell,Large intestine,Normal cell
SLAMF8,Paneth cell,Large intestine,Normal cell
SLC35F6,Paneth cell,Large intestine,Normal cell
SLC37A2,Paneth cell,Large intestine,Normal cell
SLC8B1,Paneth cell,Large intestine,Normal cell
SNN,Paneth cell,Large intestine,Normal cell
SPIC,Paneth cell,Large intestine,Normal cell
SPPL2A,Paneth cell,Large intestine,Normal cell
ST3GAL5,Paneth cell,Large intestine,Normal cell
STK26,Paneth cell,Large intestine,Normal cell
STX11,Paneth cell,Large intestine,Normal cell
TMEM206,Paneth cell,Large intestine,Normal cell
TNFAIP2,Paneth cell,Large intestine,Normal cell
TSPAN33,Paneth cell,Large intestine,Normal cell
UAP1L1,Paneth cell,Large intestine,Normal cell
UVRAG,Paneth cell,Large intestine,Normal cell
VPS9D1,Paneth cell,Large intestine,Normal cell
WDFY2,Paneth cell,Large intestine,Normal cell
WDFY4,Paneth cell,Large intestine,Normal cell
WIPF1,Paneth cell,Large intestine,Normal cell
ZNF267,Paneth cell,Large intestine,Normal cell
ZNF331,Paneth cell,Large intestine,Normal cell
ACTG2,Mitotic fetal germ cell,Fetal gonad,Normal cell
ACTR1A,Mitotic fetal germ cell,Fetal gonad,Normal cell
ADD2,Mitotic fetal germ cell,Fetal gonad,Normal cell
AKAP1,Mitotic fetal germ cell,Fetal gonad,Normal cell
ALDH4A1,Mitotic fetal germ cell,Fetal gonad,Normal cell
ALDH7A1,Mitotic fetal germ cell,Fetal gonad,Normal cell
ANKRD2,Mitotic fetal germ cell,Fetal gonad,Normal cell
ANP32A,Mitotic fetal germ cell,Fetal gonad,Normal cell
ANXA3,Mitotic fetal germ cell,Fetal gonad,Normal cell
AP1G2,Mitotic fetal germ cell,Fetal gonad,Normal cell
AP2M1,Mitotic fetal germ cell,Fetal gonad,Normal cell
APRT,Mitotic fetal germ cell,Fetal gonad,Normal cell
ARHGAP1,Mitotic fetal germ cell,Fetal gonad,Normal cell
ARHGAP28,Mitotic fetal germ cell,Fetal gonad,Normal cell
ARRB1,Mitotic fetal germ cell,Fetal gonad,Normal cell
ASRGL1,Mitotic fetal germ cell,Fetal gonad,Normal cell
ASS1,Mitotic fetal germ cell,Fetal gonad,Normal cell
ATG2A,Mitotic fetal germ cell,Fetal gonad,Normal cell
ATIC,Mitotic fetal germ cell,Fetal gonad,Normal cell
BAX,Mitotic fetal germ cell,Fetal gonad,Normal cell
BCL7A,Mitotic fetal germ cell,Fetal gonad,Normal cell
BLCAP,Mitotic fetal germ cell,Fetal gonad,Normal cell
BNIP3,Mitotic fetal germ cell,Fetal gonad,Normal cell
BPHL,Mitotic fetal germ cell,Fetal gonad,Normal cell
BTF3,Mitotic fetal germ cell,Fetal gonad,Normal cell
BTF3L4,Mitotic fetal germ cell,Fetal gonad,Normal cell
BYSL,Mitotic fetal germ cell,Fetal gonad,Normal cell
C14orf119,Mitotic fetal germ cell,Fetal gonad,Normal cell
C17orf58,Mitotic fetal germ cell,Fetal gonad,Normal cell
C1GALT1C1,Mitotic fetal germ cell,Fetal gonad,Normal cell
C1QBP,Mitotic fetal germ cell,Fetal gonad,Normal cell
CAPN5,Mitotic fetal germ cell,Fetal gonad,Normal cell
CBX2,Mitotic fetal germ cell,Fetal gonad,Normal cell
CCPG1,Mitotic fetal germ cell,Fetal gonad,Normal cell
CDK4,Mitotic fetal germ cell,Fetal gonad,Normal cell
CENPA,Mitotic fetal germ cell,Fetal gonad,Normal cell
CHMP1B,Mitotic fetal germ cell,Fetal gonad,Normal cell
CHMP4A,Mitotic fetal germ cell,Fetal gonad,Normal cell
CHP1,Mitotic fetal germ cell,Fetal gonad,Normal cell
CLDN7,Mitotic fetal germ cell,Fetal gonad,Normal cell
CLEC4D,Mitotic fetal germ cell,Fetal gonad,Normal cell
CLN3,Mitotic fetal germ cell,Fetal gonad,Normal cell
CNN2,Mitotic fetal germ cell,Fetal gonad,Normal cell
CNNM3,Mitotic fetal germ cell,Fetal gonad,Normal cell
COA4,Mitotic fetal germ cell,Fetal gonad,Normal cell
COMMD10,Mitotic fetal germ cell,Fetal gonad,Normal cell
COX8A,Mitotic fetal germ cell,Fetal gonad,Normal cell
CRIP2,Mitotic fetal germ cell,Fetal gonad,Normal cell
CRTAP,Mitotic fetal germ cell,Fetal gonad,Normal cell
CSTB,Mitotic fetal germ cell,Fetal gonad,Normal cell
CTPS1,Mitotic fetal germ cell,Fetal gonad,Normal cell
CXXC5,Mitotic fetal germ cell,Fetal gonad,Normal cell
CYCS,Mitotic fetal germ cell,Fetal gonad,Normal cell
CYP2S1,Mitotic fetal germ cell,Fetal gonad,Normal cell
DAPK1,Mitotic fetal germ cell,Fetal gonad,Normal cell
DCAF4,Mitotic fetal germ cell,Fetal gonad,Normal cell
DDIT4L,Mitotic fetal germ cell,Fetal gonad,Normal cell
DDX47,Mitotic fetal germ cell,Fetal gonad,Normal cell
DHTKD1,Mitotic fetal germ cell,Fetal gonad,Normal cell
DHX33,Mitotic fetal germ cell,Fetal gonad,Normal cell
DLG3,Mitotic fetal germ cell,Fetal gonad,Normal cell
DPAGT1,Mitotic fetal germ cell,Fetal gonad,Normal cell
EEF1A1,Mitotic fetal germ cell,Fetal gonad,Normal cell
EEF1G,Mitotic fetal germ cell,Fetal gonad,Normal cell
EIF1AX,Mitotic fetal germ cell,Fetal gonad,Normal cell
EIF2S3,Mitotic fetal germ cell,Fetal gonad,Normal cell
EIF3F,Mitotic fetal germ cell,Fetal gonad,Normal cell
EIF3I,Mitotic fetal germ cell,Fetal gonad,Normal cell
EIF3K,Mitotic fetal germ cell,Fetal gonad,Normal cell
EIF3M,Mitotic fetal germ cell,Fetal gonad,Normal cell
EIF4B,Mitotic fetal germ cell,Fetal gonad,Normal cell
EIF6,Mitotic fetal germ cell,Fetal gonad,Normal cell
ELOVL3,Mitotic fetal germ cell,Fetal gonad,Normal cell
EMG1,Mitotic fetal germ cell,Fetal gonad,Normal cell
ERBB3,Mitotic fetal germ cell,Fetal gonad,Normal cell
ETFB,Mitotic fetal germ cell,Fetal gonad,Normal cell
EXOSC5,Mitotic fetal germ cell,Fetal gonad,Normal cell
EXOSC6,Mitotic fetal germ cell,Fetal gonad,Normal cell
FAM122C,Mitotic fetal germ cell,Fetal gonad,Normal cell
FAM124B,Mitotic fetal germ cell,Fetal gonad,Normal cell
FBL,Mitotic fetal germ cell,Fetal gonad,Normal cell
FGD4,Mitotic fetal germ cell,Fetal gonad,Normal cell
FLNB,Mitotic fetal germ cell,Fetal gonad,Normal cell
FOXN3,Mitotic fetal germ cell,Fetal gonad,Normal cell
FSTL1,Mitotic fetal germ cell,Fetal gonad,Normal cell
GIP,Mitotic fetal germ cell,Fetal gonad,Normal cell
GMPPA,Mitotic fetal germ cell,Fetal gonad,Normal cell
GMPPB,Mitotic fetal germ cell,Fetal gonad,Normal cell
GMPR,Mitotic fetal germ cell,Fetal gonad,Normal cell
GPHA2,Mitotic fetal germ cell,Fetal gonad,Normal cell
GRB7,Mitotic fetal germ cell,Fetal gonad,Normal cell
GRWD1,Mitotic fetal germ cell,Fetal gonad,Normal cell
GSTM4,Mitotic fetal germ cell,Fetal gonad,Normal cell
GTF2IRD2,Mitotic fetal germ cell,Fetal gonad,Normal cell
H2AFY2,Mitotic fetal germ cell,Fetal gonad,Normal cell
HK1,Mitotic fetal germ cell,Fetal gonad,Normal cell
HMGN1,Mitotic fetal germ cell,Fetal gonad,Normal cell
HNRNPA1,Mitotic fetal germ cell,Fetal gonad,Normal cell
HNRNPF,Mitotic fetal germ cell,Fetal gonad,Normal cell
HUS1,Mitotic fetal germ cell,Fetal gonad,Normal cell
IL12B,Mitotic fetal germ cell,Fetal gonad,Normal cell
IMP3,Mitotic fetal germ cell,Fetal gonad,Normal cell
IMP4,Mitotic fetal germ cell,Fetal gonad,Normal cell
JADE2,Mitotic fetal germ cell,Fetal gonad,Normal cell
KHDC3L,Mitotic fetal germ cell,Fetal gonad,Normal cell
KIAA1191,Mitotic fetal germ cell,Fetal gonad,Normal cell
KLHL18,Mitotic fetal germ cell,Fetal gonad,Normal cell
KLRG2,Mitotic fetal germ cell,Fetal gonad,Normal cell
LDOC1,Mitotic fetal germ cell,Fetal gonad,Normal cell
LPAR2,Mitotic fetal germ cell,Fetal gonad,Normal cell
LPCAT4,Mitotic fetal germ cell,Fetal gonad,Normal cell
MAP3K7,Mitotic fetal germ cell,Fetal gonad,Normal cell
MDH1,Mitotic fetal germ cell,Fetal gonad,Normal cell
METTL9,Mitotic fetal germ cell,Fetal gonad,Normal cell
MGST3,Mitotic fetal germ cell,Fetal gonad,Normal cell
MKRN1,Mitotic fetal germ cell,Fetal gonad,Normal cell
MLEC,Mitotic fetal germ cell,Fetal gonad,Normal cell
MRPL11,Mitotic fetal germ cell,Fetal gonad,Normal cell
MRPL15,Mitotic fetal germ cell,Fetal gonad,Normal cell
MRPL17,Mitotic fetal germ cell,Fetal gonad,Normal cell
MRPL49,Mitotic fetal germ cell,Fetal gonad,Normal cell
MRPL57,Mitotic fetal germ cell,Fetal gonad,Normal cell
MRPL9,Mitotic fetal germ cell,Fetal gonad,Normal cell
MRPS18B,Mitotic fetal germ cell,Fetal gonad,Normal cell
MRPS2,Mitotic fetal germ cell,Fetal gonad,Normal cell
MRPS7,Mitotic fetal germ cell,Fetal gonad,Normal cell
MRS2,Mitotic fetal germ cell,Fetal gonad,Normal cell
MTFP1,Mitotic fetal germ cell,Fetal gonad,Normal cell
MYADM,Mitotic fetal germ cell,Fetal gonad,Normal cell
MYBL2,Mitotic fetal germ cell,Fetal gonad,Normal cell
MYCN,Mitotic fetal germ cell,Fetal gonad,Normal cell
MYL6,Mitotic fetal germ cell,Fetal gonad,Normal cell
MYL9,Mitotic fetal germ cell,Fetal gonad,Normal cell
MYO1C,Mitotic fetal germ cell,Fetal gonad,Normal cell
NANOS3,Mitotic fetal germ cell,Fetal gonad,Normal cell
NBAS,Mitotic fetal germ cell,Fetal gonad,Normal cell
NCBP2-AS2,Mitotic fetal germ cell,Fetal gonad,Normal cell
NDUFA9,Mitotic fetal germ cell,Fetal gonad,Normal cell
NDUFAB1,Mitotic fetal germ cell,Fetal gonad,Normal cell
NDUFS5,Mitotic fetal germ cell,Fetal gonad,Normal cell
NFE2L3,Mitotic fetal germ cell,Fetal gonad,Normal cell
NHP2,Mitotic fetal germ cell,Fetal gonad,Normal cell
NLE1,Mitotic fetal germ cell,Fetal gonad,Normal cell
NMRAL1,Mitotic fetal germ cell,Fetal gonad,Normal cell
NOL6,Mitotic fetal germ cell,Fetal gonad,Normal cell
NOP10,Mitotic fetal germ cell,Fetal gonad,Normal cell
NR2C2AP,Mitotic fetal germ cell,Fetal gonad,Normal cell
NRK,Mitotic fetal germ cell,Fetal gonad,Normal cell
NT5C3B,Mitotic fetal germ cell,Fetal gonad,Normal cell
NTNG1,Mitotic fetal germ cell,Fetal gonad,Normal cell
NUDT11,Mitotic fetal germ cell,Fetal gonad,Normal cell
NVL,Mitotic fetal germ cell,Fetal gonad,Normal cell
ORAI1,Mitotic fetal germ cell,Fetal gonad,Normal cell
PCBD2,Mitotic fetal germ cell,Fetal gonad,Normal cell
PCED1B,Mitotic fetal germ cell,Fetal gonad,Normal cell
PCMTD2,Mitotic fetal germ cell,Fetal gonad,Normal cell
PCYOX1,Mitotic fetal germ cell,Fetal gonad,Normal cell
PDCD6,Mitotic fetal germ cell,Fetal gonad,Normal cell
PFKL,Mitotic fetal germ cell,Fetal gonad,Normal cell
PGAM1,Mitotic fetal germ cell,Fetal gonad,Normal cell
PHB2,Mitotic fetal germ cell,Fetal gonad,Normal cell
PIN4,Mitotic fetal germ cell,Fetal gonad,Normal cell
PKD1L2,Mitotic fetal germ cell,Fetal gonad,Normal cell
PLGRKT,Mitotic fetal germ cell,Fetal gonad,Normal cell
PLOD1,Mitotic fetal germ cell,Fetal gonad,Normal cell
PMM2,Mitotic fetal germ cell,Fetal gonad,Normal cell
POLR1C,Mitotic fetal germ cell,Fetal gonad,Normal cell
POLR2D,Mitotic fetal germ cell,Fetal gonad,Normal cell
POP5,Mitotic fetal germ cell,Fetal gonad,Normal cell
POP7,Mitotic fetal germ cell,Fetal gonad,Normal cell
POU5F1B,Mitotic fetal germ cell,Fetal gonad,Normal cell
PPM1H,Mitotic fetal germ cell,Fetal gonad,Normal cell
PPM1N,Mitotic fetal germ cell,Fetal gonad,Normal cell
PPP1CA,Mitotic fetal germ cell,Fetal gonad,Normal cell
PPP1R15A,Mitotic fetal germ cell,Fetal gonad,Normal cell
PTBP1,Mitotic fetal germ cell,Fetal gonad,Normal cell
PTBP3,Mitotic fetal germ cell,Fetal gonad,Normal cell
PTDSS1,Mitotic fetal germ cell,Fetal gonad,Normal cell
PYY,Mitotic fetal germ cell,Fetal gonad,Normal cell
RAB11FIP4,Mitotic fetal germ cell,Fetal gonad,Normal cell
RAB15,Mitotic fetal germ cell,Fetal gonad,Normal cell
RAD21,Mitotic fetal germ cell,Fetal gonad,Normal cell
RASSF2,Mitotic fetal germ cell,Fetal gonad,Normal cell
RBM3,Mitotic fetal germ cell,Fetal gonad,Normal cell
RBM47,Mitotic fetal germ cell,Fetal gonad,Normal cell
RMND1,Mitotic fetal germ cell,Fetal gonad,Normal cell
RNF125,Mitotic fetal germ cell,Fetal gonad,Normal cell
RNF181,Mitotic fetal germ cell,Fetal gonad,Normal cell
RNF44,Mitotic fetal germ cell,Fetal gonad,Normal cell
RNPEP,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPL10A,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPL11,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPL12,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPL13,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPL14,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPL15,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPL17,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPL18,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPL18A,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPL22,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPL23,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPL23A,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPL24,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPL26,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPL27,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPL27A,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPL28,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPL3,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPL32,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPL34,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPL35,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPL35A,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPL36A,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPL37,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPL38,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPL39,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPL4,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPL41,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPL7,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPL7A,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPL8,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPL9,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPLP0,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPP25,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPRM,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPS10,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPS13,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPS14,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPS15A,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPS16,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPS18,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPS24,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPS25,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPS29,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPS3,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPS3A,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPS4X,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPS6,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPS7,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPSA,Mitotic fetal germ cell,Fetal gonad,Normal cell
RPUSD3,Mitotic fetal germ cell,Fetal gonad,Normal cell
RSAD1,Mitotic fetal germ cell,Fetal gonad,Normal cell
RTN2,Mitotic fetal germ cell,Fetal gonad,Normal cell
SARS2,Mitotic fetal germ cell,Fetal gonad,Normal cell
SCP2,Mitotic fetal germ cell,Fetal gonad,Normal cell
SCPEP1,Mitotic fetal germ cell,Fetal gonad,Normal cell
SDCBP,Mitotic fetal germ cell,Fetal gonad,Normal cell
SERPINH1,Mitotic fetal germ cell,Fetal gonad,Normal cell
SF3B3,Mitotic fetal germ cell,Fetal gonad,Normal cell
SHISA5,Mitotic fetal germ cell,Fetal gonad,Normal cell
SLC25A11,Mitotic fetal germ cell,Fetal gonad,Normal cell
SLC25A16,Mitotic fetal germ cell,Fetal gonad,Normal cell
SLC35A2,Mitotic fetal germ cell,Fetal gonad,Normal cell
SLC35A5,Mitotic fetal germ cell,Fetal gonad,Normal cell
SLC38A7,Mitotic fetal germ cell,Fetal gonad,Normal cell
SLC44A2,Mitotic fetal germ cell,Fetal gonad,Normal cell
SLC47A1,Mitotic fetal germ cell,Fetal gonad,Normal cell
SLC4A11,Mitotic fetal germ cell,Fetal gonad,Normal cell
SLC7A3,Mitotic fetal germ cell,Fetal gonad,Normal cell
SMAGP,Mitotic fetal germ cell,Fetal gonad,Normal cell
SMCO4,Mitotic fetal germ cell,Fetal gonad,Normal cell
SMIM10L1,Mitotic fetal germ cell,Fetal gonad,Normal cell
SNAP23,Mitotic fetal germ cell,Fetal gonad,Normal cell
SNAPC3,Mitotic fetal germ cell,Fetal gonad,Normal cell
SNRPE,Mitotic fetal germ cell,Fetal gonad,Normal cell
SNX24,Mitotic fetal germ cell,Fetal gonad,Normal cell
SNX8,Mitotic fetal germ cell,Fetal gonad,Normal cell
SOAT2,Mitotic fetal germ cell,Fetal gonad,Normal cell
SPTSSA,Mitotic fetal germ cell,Fetal gonad,Normal cell
SRGAP1,Mitotic fetal germ cell,Fetal gonad,Normal cell
STRA6,Mitotic fetal germ cell,Fetal gonad,Normal cell
SUCLA2,Mitotic fetal germ cell,Fetal gonad,Normal cell
SUCLG2,Mitotic fetal germ cell,Fetal gonad,Normal cell
SUMF1,Mitotic fetal germ cell,Fetal gonad,Normal cell
SURF6,Mitotic fetal germ cell,Fetal gonad,Normal cell
SUSD3,Mitotic fetal germ cell,Fetal gonad,Normal cell
SYTL4,Mitotic fetal germ cell,Fetal gonad,Normal cell
TACC2,Mitotic fetal germ cell,Fetal gonad,Normal cell
TCL1A,Mitotic fetal germ cell,Fetal gonad,Normal cell
TCL1B,Mitotic fetal germ cell,Fetal gonad,Normal cell
TEAD2,Mitotic fetal germ cell,Fetal gonad,Normal cell
TEAD4,Mitotic fetal germ cell,Fetal gonad,Normal cell
TEC,Mitotic fetal germ cell,Fetal gonad,Normal cell
THOC6,Mitotic fetal germ cell,Fetal gonad,Normal cell
TIMM8A,Mitotic fetal germ cell,Fetal gonad,Normal cell
TJP3,Mitotic fetal germ cell,Fetal gonad,Normal cell
TKT,Mitotic fetal germ cell,Fetal gonad,Normal cell
TMC7,Mitotic fetal germ cell,Fetal gonad,Normal cell
TMED9,Mitotic fetal germ cell,Fetal gonad,Normal cell
TMEM11,Mitotic fetal germ cell,Fetal gonad,Normal cell
TMEM170A,Mitotic fetal germ cell,Fetal gonad,Normal cell
TMEM177,Mitotic fetal germ cell,Fetal gonad,Normal cell
TMEM205,Mitotic fetal germ cell,Fetal gonad,Normal cell
TOMM5,Mitotic fetal germ cell,Fetal gonad,Normal cell
TP53,Mitotic fetal germ cell,Fetal gonad,Normal cell
TPM3,Mitotic fetal germ cell,Fetal gonad,Normal cell
TPM4,Mitotic fetal germ cell,Fetal gonad,Normal cell
TRAM2,Mitotic fetal germ cell,Fetal gonad,Normal cell
TRANK1,Mitotic fetal germ cell,Fetal gonad,Normal cell
TRAPPC4,Mitotic fetal germ cell,Fetal gonad,Normal cell
TRAPPC5,Mitotic fetal germ cell,Fetal gonad,Normal cell
TRIAP1,Mitotic fetal germ cell,Fetal gonad,Normal cell
TRIML2,Mitotic fetal germ cell,Fetal gonad,Normal cell
TRIP10,Mitotic fetal germ cell,Fetal gonad,Normal cell
TSPAN18,Mitotic fetal germ cell,Fetal gonad,Normal cell
TTC27,Mitotic fetal germ cell,Fetal gonad,Normal cell
TUBA1C,Mitotic fetal germ cell,Fetal gonad,Normal cell
TUFT1,Mitotic fetal germ cell,Fetal gonad,Normal cell
TXN,Mitotic fetal germ cell,Fetal gonad,Normal cell
TXNDC12,Mitotic fetal germ cell,Fetal gonad,Normal cell
TYW1,Mitotic fetal germ cell,Fetal gonad,Normal cell
UGCG,Mitotic fetal germ cell,Fetal gonad,Normal cell
UNC119,Mitotic fetal germ cell,Fetal gonad,Normal cell
UNC45A,Mitotic fetal germ cell,Fetal gonad,Normal cell
UROD,Mitotic fetal germ cell,Fetal gonad,Normal cell
VARS,Mitotic fetal germ cell,Fetal gonad,Normal cell
VAT1,Mitotic fetal germ cell,Fetal gonad,Normal cell
VRTN,Mitotic fetal germ cell,Fetal gonad,Normal cell
VSIG10,Mitotic fetal germ cell,Fetal gonad,Normal cell
WDR46,Mitotic fetal germ cell,Fetal gonad,Normal cell
WNT2B,Mitotic fetal germ cell,Fetal gonad,Normal cell
YPEL2,Mitotic fetal germ cell,Fetal gonad,Normal cell
YWHAB,Mitotic fetal germ cell,Fetal gonad,Normal cell
ZAN,Mitotic fetal germ cell,Fetal gonad,Normal cell
ZC3HAV1,Mitotic fetal germ cell,Fetal gonad,Normal cell
ZMIZ1,Mitotic fetal germ cell,Fetal gonad,Normal cell
ZNF138,Mitotic fetal germ cell,Fetal gonad,Normal cell
ZNF208,Mitotic fetal germ cell,Fetal gonad,Normal cell
ZNF286A,Mitotic fetal germ cell,Fetal gonad,Normal cell
ZNF428,Mitotic fetal germ cell,Fetal gonad,Normal cell
ZNF486,Mitotic fetal germ cell,Fetal gonad,Normal cell
ZNF585A,Mitotic fetal germ cell,Fetal gonad,Normal cell
ZNF589,Mitotic fetal germ cell,Fetal gonad,Normal cell
ZNF682,Mitotic fetal germ cell,Fetal gonad,Normal cell
ZNF729,Mitotic fetal germ cell,Fetal gonad,Normal cell
A1BG,Retinoid acid signaling-responsive fetal germ cell,Fetal gonad,Normal cell
AAMDC,Retinoid acid signaling-responsive fetal germ cell,Fetal gonad,Normal cell
ABHD14A,Retinoid acid signaling-responsive fetal germ cell,Fetal gonad,Normal cell
ACTN2,Retinoid acid signaling-responsive fetal germ cell,Fetal gonad,Normal cell
AFF3,Retinoid acid signaling-responsive fetal germ cell,Fetal gonad,Normal cell
AKAP11,Retinoid acid signaling-responsive fetal germ cell,Fetal gonad,Normal cell
ANHX,Retinoid acid signaling-responsive fetal germ cell,Fetal gonad,Normal cell
ANP32B,Retinoid acid signaling-responsive fetal germ cell,Fetal gonad,Normal cell
ARL6IP4,Retinoid acid signaling-responsive fetal germ cell,Fetal gonad,Normal cell
ASB9,Retinoid acid signaling-responsive fetal germ cell,Fetal gonad,Normal cell
ATP6V1D,Retinoid acid signaling-responsive fetal germ cell,Fetal gonad,Normal cell
B3GALNT1,Retinoid acid signaling-responsive fetal germ cell,Fetal gonad,Normal cell
BLOC1S1,Retinoid acid signaling-responsive fetal germ cell,Fetal gonad,Normal cell
BLVRA,Retinoid acid signaling-responsive fetal germ cell,Fetal gonad,Normal cell
C12orf10,Retinoid acid signaling-responsive fetal germ cell,Fetal gonad,Normal cell
C4orf48,Retinoid acid signaling-responsive fetal germ cell,Fetal gonad,Normal cell
CDK2AP1,Retinoid acid signaling-responsive fetal germ cell,Fetal gonad,Normal cell
CDKN2D,Retinoid acid signaling-responsive fetal germ cell,Fetal gonad,Normal cell
CFAP97,Retinoid acid signaling-responsive fetal germ cell,Fetal gonad,Normal cell
CHMP2A,Retinoid acid signaling-responsive fetal germ cell,Fetal gonad,Normal cell
COX7A1,Retinoid acid signaling-responsive fetal germ cell,Fetal gonad,Normal cell
CRABP2,Retinoid acid signaling-responsive fetal germ cell,Fetal gonad,Normal cell
CXorf67,Retinoid acid signaling-responsive fetal germ cell,Fetal gonad,Normal cell
