geneSymbol,cellName,tissueType,cellType
CTNNB1,Circulating fetal cell,Blood,Normal cell
DLX5,Circulating fetal cell,Blood,Normal cell
EN1,Circulating fetal cell,Blood,Normal cell
F11R,Circulating fetal cell,Blood,Normal cell
FOXA2,Circulating fetal cell,Blood,Normal cell
GATA5,Circulating fetal cell,Blood,Normal cell
HAMP,Circulating fetal cell,Blood,Normal cell
HMGA1,Circulating fetal cell,Blood,Normal cell
IL7R,Circulating fetal cell,Blood,Normal cell
JUN,Circulating fetal cell,Blood,Normal cell
JUNB,Circulating fetal cell,Blood,Normal cell
KCNQ4,Circulating fetal cell,Blood,Normal cell
MMP9,Circulating fetal cell,Blood,Normal cell
OLIG2,Circulating fetal cell,Blood,Normal cell
PBLD,Circulating fetal cell,Blood,Normal cell
PDGFC,Circulating fetal cell,Blood,Normal cell
PF4,Circulating fetal cell,Blood,Normal cell
PUM2,Circulating fetal cell,Blood,Normal cell
SELE,Circulating fetal cell,Blood,Normal cell
SELPLG,Circulating fetal cell,Blood,Normal cell
SMAD3,Circulating fetal cell,Blood,Normal cell
SMC3,Circulating fetal cell,Blood,Normal cell
SOX13,Circulating fetal cell,Blood,Normal cell
TCF3,Circulating fetal cell,Blood,Normal cell
TNC,Circulating fetal cell,Blood,Normal cell
GFAP,Neural progenitor cell,Brain,Normal cell
PBXIP1,Astroglial progenitor cell,Embryo,Normal cell
FLT1,Cancer stem cell,Undefined,Cancer cell
VWF,Endothelial cell,Skin,Normal cell
CXCR6,Natural killer cell,Peripheral blood,Normal cell
AMACR,Paneth cell,Undefined,Cancer cell
EPCAM,Epithelial cell,Thymus,Normal cell
FZD4,Epithelial cell,Thymus,Normal cell
KRT8,Epithelial cell,Thymus,Normal cell
WNT4,Epithelial cell,Thymus,Normal cell
DLK1,Hepatoblast,Liver,Normal cell
CXCR4,Cancer stem cell,Undefined,Cancer cell
CD8A,CD8+ T cell,Liver,Normal cell
IL2RA,FOXP3+ natural regulatory T (Treg) cell,Blood,Normal cell
CD83,Dendritic cell,Peripheral blood,Normal cell
EBF2,Beige adipogenic precursor cell,Adipose tissue,Normal cell
FOXP3,Regulatory T (Treg) cell,Peripheral blood,Normal cell
IFNG,T helper1 (Th1) cell,Peripheral blood,Normal cell
IL4,T helper2 (Th2) cell,Peripheral blood,Normal cell
IL17RA,T helper17 (Th17) cell,Peripheral blood,Normal cell
NRP1,Plasmacytoid dendritic cell,Lung,Normal cell
PIWIL1,Cancer stem cell,Undefined,Cancer cell
PDPN,Lymphatic endothelial cell,Lymph node,Normal cell
PROX1,Lymphatic endothelial cell,Lymph node,Normal cell
FLT4,Lymphatic endothelial cell,Lymph node,Normal cell
ITGA2B,Platelet,Peripheral blood,Normal cell
CD99,Endocrine cell,Pancreatic islet,Normal cell
LRRC32,Responder T cell,Blood,Normal cell
VCAM1,Adipose-derived stem cell,Adipose tissue,Normal cell
ITGB4,Oral keratinocyte stem cell,Oral mucosa,Normal cell
LIN28B,Cancer stem cell,Undefined,Cancer cell
MHC class I,Mesenchymal stem cell,Endometrium,Normal cell
RPE65,Pigment epithelial cell,Eye,Normal cell
PRKCA,Bipolar cell,Eye,Normal cell
CD40LG,Plasmablast,Blood,Normal cell
DCLK1,Esophageal mucosal cell,Esophagus,Normal cell
CHST10,Neural crest stem cell,Hair follicle,Normal cell
GCSAM,Germinal center B cell,Undefined,Cancer cell
CDH11,Pluripotent stem cell,Undefined,Normal cell
EFNA2,Pluripotent stem cell,Undefined,Normal cell
GPC3,Pluripotent stem cell,Undefined,Normal cell
PRSS50,Pluripotent stem cell,Undefined,Normal cell
NECTIN2,Pluripotent stem cell,Undefined,Normal cell
AICDA,B cell,Blood,Normal cell
MME,B cell,Blood,Normal cell
TNFSF13B,B cell,Blood,Normal cell
BTLA,T cell,Peripheral blood,Normal cell
CTLA4,T cell,Peripheral blood,Normal cell
PDCD1,T cell,Peripheral blood,Normal cell
HAVCR2,T cell,Peripheral blood,Normal cell
CR2,B cell,Peripheral blood,Normal cell
FUT4,Myeloid cell,Peripheral blood,Normal cell
CEACAM8,Myeloid cell,Peripheral blood,Normal cell
CASK,Myeloid cell,Peripheral blood,Normal cell
CD274,Monocyte,Peripheral blood,Normal cell
F3,Monocyte,Peripheral blood,Normal cell
FCGR1A,Monocyte,Peripheral blood,Normal cell
TNFRSF1B,Monocyte,Peripheral blood,Normal cell
CCR3,Granulocyte,Peripheral blood,Normal cell
ENPP3,Granulocyte,Peripheral blood,Normal cell
CD63,Granulocyte,Peripheral blood,Normal cell
CHST8,Granulosa cell,Ovarian follicle,Normal cell
FSHR,Granulosa cell,Ovarian follicle,Normal cell
GLDC,Granulosa cell,Ovarian follicle,Normal cell
GPX3,Granulosa cell,Ovarian follicle,Normal cell
MGARP,Granulosa cell,Ovarian follicle,Normal cell
CYP17A1,Theca interna cell,Ovarian follicle,Normal cell
FBLN5,Theca interna cell,Ovarian follicle,Normal cell
OGN,Theca interna cell,Ovarian follicle,Normal cell
RAMP2,Theca interna cell,Ovarian follicle,Normal cell
PTGDR2,Beta cell,Undefined,Normal cell
TM4SF1,Alveolar epithelial progenitor cell,Lung,Normal cell
ABCG2,Limbal stem cell,Limbal epithelium,Normal cell
KRT14,Limbal stem cell,Limbal epithelium,Normal cell
TP63,Limbal stem cell,Limbal epithelium,Normal cell
IL1RAP,Cancer stem cell,Undefined,Cancer cell
SOX12,Cancer stem cell,Undefined,Cancer cell
CCNA2,Primordial germ cell,Undefined,Cancer cell
SLC2A3,Primordial germ cell,Undefined,Cancer cell
PYGB,Liver progenitor cell,Liver,Normal cell
OR13C4,Dental pulp stem cell,Dental pulp,Normal cell
KIR2DL1,Monocyte,Peripheral blood,Normal cell
KIR2DL3,Monocyte,Peripheral blood,Normal cell
KLRB1,Monocyte,Peripheral blood,Normal cell
B3GAT1,Monocyte,Peripheral blood,Normal cell
KLRC2,Monocyte,Peripheral blood,Normal cell
NCR1,Monocyte,Peripheral blood,Normal cell
CDH2,Mesenchymal stem cell,Undefined,Normal cell
MSI1,Cancer stem cell,Brain,Cancer cell
CD163,Macrophage,Intervertebral disc,Normal cell
MRC1,Macrophage,Intervertebral disc,Normal cell
GLI1,Cancer stem cell,Breast,Cancer cell
GYPA,Red blood cell (erythrocyte),Plasma,Normal cell
ALPL,Pluripotent stem cell,Embryoid body,Normal cell
SLC8A1,Cardiac progenitor cell,Undefined,Normal cell
SLC2A1,CD4+ T cell,Peripheral blood,Normal cell
DPPA3,Primordial germ cell,Ovary,Normal cell
DAZL,Germ cell,Ovary,Normal cell
GDF9,Germ cell,Ovary,Normal cell
SYCP3,Germ cell,Ovary,Normal cell
IFITM3,Germline stem cell,Ovarian cortex,Normal cell
LGR5,Cancer stem cell,Ovarian cortex,Cancer cell
ANXA5,Lymphocyte,Blood,Normal cell
CX3CR1,Lymphocyte,Blood,Normal cell
ADGRA3,Spermatogonial stem cell,Testis,Normal cell
ID4,Spermatogonial stem cell,Testis,Normal cell
ACTA2,Smooth muscle cell,Undefined,Normal cell
DES,Smooth muscle cell,Undefined,Normal cell
Pancytokeratin family,Urothelium cell,Undefined,Normal cell
UPK3A,Urothelium cell,Undefined,Normal cell
NECTIN4,Cancer stem cell,Breast,Cancer cell
CRX,Photoreceptor cell,Retina,Normal cell
PRPH,Photoreceptor cell,Retina,Normal cell
PRRT2,Photoreceptor cell,Retina,Normal cell
RCVRN,Photoreceptor cell,Retina,Normal cell
RHO,Photoreceptor cell,Retina,Normal cell
CSPG4,Neural crest cell,Undefined,Cancer cell
Calponin family,Pericyte,Undefined,Cancer cell
PDGFA,Pericyte,Undefined,Cancer cell
SMN1,Pericyte,Undefined,Cancer cell
MYC,Cancer stem cell,Undefined,Cancer cell
EZH2,Cancer stem cell,Undefined,Cancer cell
CDX2,Placenta cell,Placenta,Cancer cell
C5AR2,Fibroblast,Undefined,Cancer cell
SDC1,Plasma cell,Salivary gland,Normal cell
BCL6,Follicular helper (Tfh) T cell,Salivary gland,Normal cell
LGALS3,Basal cell,Undefined,Cancer cell
Albumin family,Hepatocyte,Liver,Normal cell
TNFRSF18,Regulatory T (Treg) cell,Blood,Normal cell
IPO13,Endometrial stem cell,Endometrium,Cancer cell
LOR,Vaginal cell,Vagina,Normal cell
SFN,Vaginal cell,Vagina,Normal cell
Aldehyde dehydrogenase 1 family,Cancer stem cell,Undefined,Cancer cell
MKI67,Vascular stem cell,Blood,Normal cell
FLOT2,Cancer stem cell,Venous blood,Cancer cell
LVRN,Trophoblast cell,Placenta,Normal cell
CASP3,Mesenchymal stem cell,Bone marrow,Normal cell
CMAHP,Hematopoietic stem cell,Umbilical cord blood,Normal cell
FABP5,Epidermal transit amplifying cell,Foreskin,Normal cell
GZMB,Lymphoid cell,Blood,Normal cell
TIA1,Lymphoid cell,Blood,Normal cell
B4GALT5,EBV+ B lymphoma cell,Lymph,Cancer cell
EGF,Liver stem cell,Liver,Cancer cell
GSTP1,Liver stem cell,Liver,Cancer cell
H19,Liver stem cell,Liver,Cancer cell
HGF,Liver stem cell,Liver,Cancer cell
FAP,Mesenchymal stromal cell,Bone marrow,Normal cell
ITGB3,Megakaryocyte,Umbilical cord blood,Normal cell
DDR1,Endocrine progenitor cell,Pancreas,Normal cell
DNER,Endocrine progenitor cell,Pancreas,Normal cell
HEPACAM2,Beta cell,Pancreas,Normal cell
DISP2,Endocrine cell,Pancreas,Normal cell
LRP11,Endocrine cell,Pancreas,Normal cell
SEZ6L2,Endocrine cell,Pancreas,Normal cell
SLC30A8,Endocrine cell,Pancreas,Normal cell
Solute carrier family 30,Endocrine cell,Pancreas,Normal cell
IL18R1,Lymphocyte,Undefined,Normal cell
IL18RAP,Lymphocyte,Undefined,Normal cell
IL1RL1,Lymphocyte,Undefined,Normal cell
MPO,Neutrophil,Brain,Normal cell
CD74,B cell,Lymphoid tissue,Normal cell
KRT7,Trophoblast cell,Placenta,Normal cell
EZR,Podocyte,Renal glomerulus,Normal cell
IMMT,Dental pulp stem cell,Dental pulp,Normal cell
DEFA5,Paneth cell,Pyloric gland,Normal cell
IL6ST,Mesenchymal stromal cell,Bone marrow,Normal cell
LIFR,Mesenchymal stromal cell,Bone marrow,Normal cell
PODXL,Pluripotent stem cell,Embryo,Normal cell
FXYD2,Beta cell,Pancreas,Normal cell
PAX5,B cell,Lymphoid tissue,Normal cell
DPP4,Cancer stem cell,Undefined,Cancer cell
TFF2,Cancer stem cell,Undefined,Cancer cell
TSC-22 family,Basal cell,Prostate,Normal cell
MUC8,Ciliated cell,Nasal epithelium,Normal cell
SOX1,Neural stem cell,Brain,Normal cell
BMPR1B,Osteogenic precursor-like cell,Dermis,Normal cell
BCL2,CD4-CD28+ T cell,Peripheral blood,Normal cell
TNFRSF8,CD4-CD28+ T cell,Peripheral blood,Normal cell
FAS,CD4-CD28+ T cell,Peripheral blood,Normal cell
PRF1,CD4-CD28+ T cell,Peripheral blood,Normal cell
BHLHE40,Decidual cell,Blood,Normal cell
FZD9,Mesenchymal stem cell,Placenta,Normal cell
SIGLEC12,Lymphocyte,Peripheral blood,Normal cell
CR1,Dendritic cell,Synovium,Normal cell
TRA,Monocyte,Peripheral blood,Normal cell
TRB,Monocyte,Peripheral blood,Normal cell
FCER2,B cell,Tonsil,Normal cell
ST6GAL1,B cell,Tonsil,Normal cell
ITGAD,Myeloid cell,Tonsil,Normal cell
CMD1B,Follicular dendritic cell,Tonsil,Normal cell
SLC31A2,Cancer cell,Kidney,Cancer cell
FOLR1,Dopaminergic neuron,Midbrain,Normal cell
ABCB5,Cancer cell,Peripheral blood,Cancer cell
SMCP,Cancer cell,Peripheral blood,Cancer cell
FOLH1,Cancer cell,Blood,Cancer cell
MAP2,Neuron,Adipose tissue,Normal cell
RBFOX3,Neuron,Adipose tissue,Normal cell
Synapsin family,Neuron,Adipose tissue,Normal cell
TUBB3,Neuron,Adipose tissue,Normal cell
TGF-beta family,Mesenchymal stem cell,Corneal endothelium,Normal cell
VEGFA,Corneal endothelial cell,Corneal endothelium,Normal cell
TGM2,Cancer cell,Esophagus,Cancer cell
TNFRSF10A,Cancer cell,Undefined,Cancer cell
PTK7,Colonic stem cell,Colon,Normal cell
ERBB2,Cancer cell,Blood,Cancer cell
NPEPPS,Cancer cell,Blood,Cancer cell
SALL4,Cancer cell,Peripheral blood,Cancer cell
CD158 family,Natural killer cell,Adipose tissue,Normal cell
KLRK1,Natural killer cell,Adipose tissue,Normal cell
FASLG,Natural killer cell,Adipose tissue,Normal cell
ATP6AP2,Infiltrated mononuclear cell,Kidney,Normal cell
THBD,Adipose-derived stem cell,Subcutaneous adipose tissue,Normal cell
BHLHA15,Gastric stem cell,Gastric corpus,Normal cell
RUNX1,Gastric stem cell,Gastric corpus,Normal cell
TNFRSF19,Gastric stem cell,Gastric corpus,Normal cell
F8,Endothelial cell,Undefined,Cancer cell
CDR2,Cortical thymus epithelial cell,Thymus,Normal cell
SIRPA,Cardiac progenitor cell,Embryonic stem cell,Normal cell
ROS1,M1 macrophage,Undefined,Normal cell
CXADR,Flk1+ mesodermal cell,Pluripotent stem cell,Normal cell
AFP,Cancer stem cell,Undefined,Cancer cell
PLAUR,Cancer cell,Blood,Cancer cell
NOTCH3,Liver stem cell,Fetal liver,Normal cell
ASPM,Oxyntic stem cell,Stomach,Normal cell
SLC2A2,Pancreatic progenitor cell,Embryonic stem cell,Normal cell
CDCP1,Endocrine cell,Embryonic stem cell,Normal cell
